naslov,avtor,dolzina,zvrst,o_pisatelju
Orgije,Tomaž Šalamun,93,poezija,"Tomaž &Scaron;alamun (1941-;2014) je leta 1966 izdal kultno pesni&scaron;ko zbirko Poker, mejnik v slovenski poeziji, nekateri pa ga imajo tudi za enega temeljnih stebrov slovenskega modernizma, saj je s svojimi deli opustil tradicijo socialnega realizma, simbolizma in eksistencializma. V &scaron;estdesetih letih je sodeloval pri vseh pomembnej&scaron;ih avantgardnih projektih, povezan pa je bil tudi z legendarno skupino OHO. Leta 1969 se je zaposlil kot pripravnik v Moderni galeriji Ljubljana, leta 1971 pa kot asistent za umetnostno zgodovino na Akademiji za likovno umetnost v Ljubljani. Za svoje delo je prejel nagrado Pre&scaron;ernovega sklada (1973), Jenkovo nagrado (1988)&nbsp;in leta 1999 veliko Pre&scaron;ernovo nagrado.&nbsp;"
Marmor,Ana Svetel,84,poezija,"Ana Svetel (1990) je po poklicu etnologinja in kulturna antropologinja, zaposlena na Filozofski fakulteti Univerze v Ljubljani. A ni le poklicana za znanost: uveljavila se je kot pesnica, avtorica kratkih zgodb, pripovedovalka in kolumnistka. Pesni&scaron;ka zbirka Lepo in prav je bila leta 2015 v ožjem izboru za najbolj&scaron;i prvenec, 2019 pa je objavila zbirko kratkih zgodb Dobra družba, ki je bila nominirana za nagrado novo mesto. Radio Slovenija je po motivih njene kratke proze posnel serijo radijskih iger Prevozi. Svoje pesmi, eseje in kolumne objavlja v revijah Literatura, Dialogi, Sodobnost, Outsider, Razpotja in AirBeletrina idr. Leta 2020 je bila na pesni&scaron;ki rezidenci v mreži Reading Balkans, njene pesmi in zgodbe so bile prevedene v angle&scaron;čino, portugal&scaron;čino, hrva&scaron;čino in bosanski jezik, uvr&scaron;čene so tudi v tujejezični antologiji. Vključena je v mednarodno pesni&scaron;ko platformo Versopolis. Poleg literature se aktivno ukvarja tudi z glasbo."
"Lj kot ljubezen, pesmi o Ljubljani",,121,poezija,
"Poljub, ki riše ustnice",,147,poezija,
Namreč,Milan Jesih,272,poezija,"Milan Jesih&nbsp;(1950) je predvsem pesnik, kot avtor in prevajalec pa je izredno dejaven v svetu gledali&scaron;ča in radia. Objavil je petnajst pesni&scaron;kih zbirk, uprizorjenih je bilo več kot dvajset njegovih iger in predvajanih podobno &scaron;tevilo radijskih iger. Prevajal je temeljna dela svetovne književnosti (Shakespeara, Čehova, Gogolja, Bablja, Kleista idr.). Za svoje pesmi je prejel vse pomembnej&scaron;e literarne nagrade, med njimi Jenkovo, Veronikino in Pre&scaron;ernovo."
Zakartana ura,Vlado Kreslin,108,poezija,"Vlado Kreslin (1953)&nbsp;je danes zagotovo eden najpomembnej&scaron;ih in najbolj priljubljenih slovenskih avtorjev ter glasbenih izvajalcev. &Scaron;tevilne njegove pesmi so skoraj ponarodele, nekatere pa so postale navdih za romane, celovečerne filme in diplomske naloge. V začetku devetdesetih let je s svojo Beltin&scaron;ko bando povzročil pravi preporod slovenske ljudske in etno glasbe. V novi knjigi Vlada Kreslina so pesmi tak&scaron;ne, ki so uglasbene, in tiste, ki (&scaron;e) niso. Zbirka vsebuje tudi avtorjeve pesmi v rokopisu, ki pokaže proces, kako pesem, ki jo boste kmalu najverjetneje prepevali na pamet, nastaja."
Divan,Esad Babačić,122,poezija,"Esad Babačić (1965, Ljubljana) je pesnik in novinar. Doslej je napisal sedem zbirk poezije, nekatere njegov pesmi so v hrva&scaron;kem prevodu iz&scaron;le pod naslovom<em> Oprosti poezijo</em>. V osemdesetih je bil član novovalovske popskupine <em>Via ofenziva</em>. S svojimi pesni&scaron;kimi besedili je sodeloval pri projektu <em>Literature express Europe</em> 2000."
Lokomotive,Uroš Zupan,95,poezija,"Uro&scaron; Zupan (1963, Trbovlje) je pesnik, esejist, prevajalec, urednik in mentor na pesni&scaron;kih delavnicah. Njegova pesni&scaron;ka dela so prevedena v &scaron;tevilne evropske jezike. Njegov pesni&scaron;ki prvenec <em>Sutre</em> iz leta 1991 velja za enega najodmevnej&scaron;ih v zadnjih desetletjih, za svoja dela je prejel več nagrad. Najuglednje&scaron;i sta nagrada Pre&scaron;ernovega sklada leta 1996 in nagrada Huberta Burde leta 1999."
Darwin gre v jedilnico / Darwin going dining,Milan Dekleva,155,poezija,"Milan Dekleva (1946, Ljubljana) je pisatelj, pesnik, dramatik in skladatelj. Prvi v Sloveniji je izdal zbirko haikujev <em>(Mushi</em> <em>mushi)</em> , ki so ji sledili druge pesni&scaron;ke zbirke, romani, drame in eseji. Pi&scaron;e tudi mladinsko prozo in drame. Za svoje delo je bil nagrajen, med drugim je prejel nagrado Pre&scaron;ernovega sklada ter Pre&scaron;ernovo, Jenkovo, Rožančevo, Veronikino nagrado in kresnika."
Transverzala,Andrej Brvar,940,poezija,"Andrej Brvar (1945) je slovenski lektor, urednik in pesnik. Na Filozofski fakulteti v Ljubljani je &scaron;tudiral primerjalno književnost in italijan&scaron;čino, od samega začetka svojega ustvarjanja pa je bil povezan z družbenokritičnimi in avantgardističnimi tokovi. Tako bil je član skupine 442, ki je združevala znane slovenske umetnike in književnike, in član znamenite mariborske peterice.&nbsp;"
V belo - zbrane pesmi,Dane Zajc,732,poezija,"Dane Zajc (1929-;2005) je bil pesnik, dramatik, esejist in knjižničar, klasik slovenske in evropske književnosti. Njegov opus obsega osem izvirnih knjig pesmi ter sedem dram za odrasle. Za svoje ustvarjanje je prejel več nagrad, med njimi nagrado Pre&scaron;ernovega sklada, Pre&scaron;ernovo in dve Grumovi nagradi ter Fullbrightovo &scaron;tipendijo za priznanega umetnika."
"Brez verzov, brez rim - antologija slovenske pesmi v prozi",Več Avtorjev,376,poezija,Več avtorjev
Z vrha jezika,Rumen Leonidov,163,poezija,"Rumen Leonidov (1953, Sofija) je pesnik, prevajalec, novinar in založnik, član Dru&scaron;tva bolgarskih pisateljev. Je avtor sedmih pesni&scaron;kih zbirk, pesmi, črtice, humoreske in recenzije redno objavlja v časopisju. Za svoja dela je prejel &scaron;tevilne nacionalne in mednarodne nagrade."
In Darwinu zadrhti roka,Milan Dekleva,67,poezija,"Milan Dekleva (1946, Ljubljana) je pisatelj, pesnik, dramatik in skladatelj. Prvi v Sloveniji je izdal zbirko haikujev <em>(Mushi</em> <em>mushi)</em> , ki so ji sledili druge pesni&scaron;ke zbirke, romani, drame in eseji. Pi&scaron;e tudi mladinsko prozo in drame. Za svoje delo je bil nagrajen, med drugim je prejel nagrado Pre&scaron;ernovega sklada ter Pre&scaron;ernovo, Jenkovo, Rožančevo, Veronikino nagrado in kresnika."
Krogi na vodi,Peter Semolič,88,poezija,"Peter Semolič (1967, Ljubljana) je pesnik, prevajalec in avtor radijskih iger. Izbor njegovih pesmi je bil leta 2004 preveden za Sarajevske zveske, leta 1997 pa je bil eden od avtorjev slovensko-francoske knjige <em>&Scaron;tirje slovenski pesniki</em>, skupaj z Danetom Zajcem, Nikom Grafenauerjem in Vero Pejović. Njegova poezija je prevedena v več tujih jezikov. Prejel je več nagrad, med njimi Jenkovo nagrado, nagrado Vilenica in nagrado Pre&scaron;ernovega sklada."
Bile,Matjaž Pikalo,66,poezija,"Matjaž Pikalo (1963, Slovenj Gradec) je književnik, igralec in glasbenik. Objavil je več pesni&scaron;kih zbirk, med njimi <em>Bille</em> in <em>Rekla si, da hoče&scaron;</em>, romanov, med njimi <em>Modri e in Evropa 2000</em>, mladinska in dramska dela. Za svoje delo je bil večkrat nagrajen, med drugim z nagrado <em>Večernica</em>. Leta 2017 je bil izbran za ugledno pisateljsko rezidenco na Univerzi v Iowi."
Izbrane pesmi,John Burnside,294,poezija,"John Burnside (1955) je &scaron;kotski pesnik in pisatelj. Na Cambridgeshirskem kolidžu za umetnost in tehnologijo<br />
je &scaron;tudiral angle&scaron;ko in evropsko književnost, danes pa na Univerzi v St. Andrewsu poučuje kreativno pisanje, ameri&scaron;ko poezijo ter poezijo in ekologijo. Napisal je osem romanov, tri zbirke kratke proze in petnajstih pesni&scaron;kih zbirk, za katere je prejel &scaron;tevilne nagrade, med drugimi nagrado T. S. Eliota, nagrado Forward in nagrado Whitbread."
Kiti se ne napihujejo,Esad Babačić,68,poezija,"Esad Babačić (1965, Ljubljana) je pesnik in novinar. Doslej je napisal sedem zbirk poezije, nekatere njegov pesmi so v hrva&scaron;kem prevodu iz&scaron;le pod naslovom<em> Oprosti poezijo</em>. V osemdesetih je bil član novovalovske popskupine <em>Via ofenziva</em>. S svojimi pesni&scaron;kimi besedili je sodeloval pri projektu <em>Literature express Europe</em> 2000."
Zbrane pesmi - Gregor Strniša,Gregor Strniša,703,poezija,"Gregor Strni&scaron;a (1930 -; 1987, Ljubljana) je bil pesnik, dramatik, avtor besedil za zabavno glasbo in tekstopisec. Izdal je sedem samostojnih pesni&scaron;kih zbirk, &scaron;tiri drame, napisal &scaron;tiri radijske igre in prav toliko knjig za otroke. Njegove pesmi so prevedene v &scaron;tevilne jezike. Leta 1962 je prejel nagrado za najbolj&scaron;e besedilo na 1. festivalu Slovenske popevke za besedilo pesmi <em>&raquo;Zemlja</em> <em>ple&scaron;e&laquo;.</em>"
Jutro je v tej vlažni deželi - Izbor sodobne poezije v nizozemskem jeziku,Več Avtorjev,289,poezija,Več avtorjev
Od Talesa do tebe,Gorazd Kocijančič,260,poezija,"Gorazd Kocijančič (1964) je filozof, pesnik, urednik in prevajalec iz 10 jezikov, med drugimi iz gr&scaron;čine, latin&scaron;čine in hebrej&scaron;čine. Prevedel <em>Platonova zbrana dela</em>, sodeloval pa je tudi pri standardnem slovenskem prevodu <em>Svetega pisma</em>. Njegova dela so prevedena v angle&scaron;čino, če&scaron;čino, ru&scaron;čino in druge jezike.&nbsp;Za svoja dela je prejel Rožančevo in Sovretovo nagrado ter nagrado Pre&scaron;ernovega sklada."
Sinji stolp,Tomaž Šalamun,150,poezija,"Tomaž &Scaron;alamun (1941-;2014) je leta 1966 izdal kultno pesni&scaron;ko zbirko Poker, mejnik v slovenski poeziji, nekateri pa ga imajo tudi za enega temeljnih stebrov slovenskega modernizma, saj je s svojimi deli opustil tradicijo socialnega realizma, simbolizma in eksistencializma. V &scaron;estdesetih letih je sodeloval pri vseh pomembnej&scaron;ih avantgardnih projektih, povezan pa je bil tudi z legendarno skupino OHO. Leta 1969 se je zaposlil kot pripravnik v Moderni galeriji Ljubljana, leta 1971 pa kot asistent za umetnostno zgodovino na Akademiji za likovno umetnost v Ljubljani. Za svoje delo je prejel nagrado Pre&scaron;ernovega sklada (1973), Jenkovo nagrado (1988)&nbsp;in leta 1999 veliko Pre&scaron;ernovo nagrado.&nbsp;"
Nisem,Dušan Jovanović,100,poezija,"Du&scaron;an Jovanovič (1939-;2020) je bil eden najbolj plodovitih in prepoznavnih slovenskih dramatikov in gledali&scaron;kih režiserjev, luciden esejist, kolumnist in pisatelj, med drugim tudi predsednik Pre&scaron;ernovega sklada (2005-;2008). V Ljubjani je na Filozofski fakulteti najprej diplomiral iz angle&scaron;čine in franco&scaron;čine, nato pa je &scaron;tudiral režijo na AGRFT. Konec &scaron;estdesetih let je bil eden od ustanoviteljev in direktor Gledali&scaron;ča Pupilije Ferkeverk, v okviru katerega je bila uprizorjena kultna predstava Pupilija, papa Pupilo pa Pupilčki."
"Zbrane pesmi, 1. in 2. del -Detela",Jure Detela,1816,poezija,"Jure Detela (1951-;1992) je bil slovenski pesnik, pisatelj in esejist. V Ljubljani na Filozofski fakulteti je &scaron;tudiral umetnostno zgodovino, nato je &scaron;el v svobodni poklic. V sedemdesetih letih 20. stoletja je bil član raznih avantgardističnih skupin, leta 1971 je na Filozofski fakulteti ustanovil &scaron;tudentsko cerkev."
Odhajanje za začetnike,Cvetka Lipuš,100,poezija,"Cvetka Lipu&scaron; (1966) je avstrijska pesnica slovenskega porekla, ki prihaja iz umetni&scaron;ko plodovite skupnosti koro&scaron;kih Slovencev. Pi&scaron;e v sloven&scaron;čini, doslej je objavila sedem pesni&scaron;kih zbirk. Njene pesmi so prevedene v angle&scaron;čino, nem&scaron;čino in bolgar&scaron;čino."
To,Inger Christensen,281,poezija,"Inger Christensen (1935-;2009, Vejle, Danska) velja za eno najpomembnej&scaron;ih pesnic dvajsetega stoletja, ki so jo večkrat omenjali kot resno kandidatko za Nobelovo nagrado. Debitirala je z modernistično zbirko <em>Lys (Luč)</em>, njen pesni&scaron;ki preboj pa se je zgodil z zbirko <em>Det (To)</em>. Bila je pripadnica tako imenovane sistemske poezije, v kateri je z matematičnimi principi pregibala jezik in ustvarjala red v neredu."
H2SO4,Igor Saksida,140,poezija,"Dr. Igor Saksida &nbsp;(1965) je predavatelj na Pedago&scaron;ki fakulteti v Ljubljani, na Pedago&scaron;ki fakulteti v Kopru in na Fakulteti za humanistične &scaron;tudije Koper. Njegov bogat raziskovalni opus obravnava v prvi vrsti &nbsp;zgodovino in teorijo mladinske književnosti ter didaktiko književnosti. Pi&scaron;e učbenike oz. vodi avtorske ekipe za njihovo pripravo ter navdu&scaron;uje otroke in pedagoge za kvalitetno literaturo. Je avtor &scaron;tevilnih monografij, nazadnje <em>Kla kla klasika</em> z reperjem Rokom Trkajem."
Zeliščarka,Svetlana Makarovič,116,poezija,"Svetlana Makarovič (1939, Maribor) je začela svojo kariero kot poklicna gledali&scaron;ka igralka. Danes je pisateljica, pesnica in ena najbolj prepoznavnih slovenskih avtoric. Objavila je več pesni&scaron;kih zbirk in pustila pomemben pečat na področju literarnega ustvarjanja za mlaj&scaron;e generacije. Za svoje delo je prejela &scaron;tevilne nagrade, med njimi nagrado Pre&scaron;ernovega sklada in veliko Pre&scaron;ernovo nagrado."
Rilke proti novim fosilom,Uroš Zupan,189,poezija,"Uro&scaron; Zupan (1963, Trbovlje) je pesnik, esejist, prevajalec, urednik in mentor na pesni&scaron;kih delavnicah. Njegova pesni&scaron;ka dela so prevedena v &scaron;tevilne evropske jezike. Njegov pesni&scaron;ki prvenec <em>Sutre</em> iz leta 1991 velja za enega najodmevnej&scaron;ih v zadnjih desetletjih, za svoja dela je prejel več nagrad. Najuglednje&scaron;i sta nagrada Pre&scaron;ernovega sklada leta 1996 in nagrada Huberta Burde leta 1999."
Kamnolom duš,Carolyn Forché,222,poezija,"Carolyn Forch&eacute; (1950) je ameri&scaron;ka pesnica, prevajalka, aktivistka in borka za človekove pravice. Diplomirala je iz kreativnega pisanja na Državni univerzi Michigan in leta 1975 magistrirala na Državni univerzi Bowling Green. Poleg prvenca <em>Zbiranje plemen</em> (1976) je izdala &scaron;e &scaron;tiri pesni&scaron;ke zbirke: <em>Dežela med nami</em> (1981), <em>Angel zgodovine</em> (1994), <em>Modra ura</em> (2003) in <em>Ob zamudi sveta</em> (2020); s slednjo je pri&scaron;la v finale za Pulitzerjevo nagrado za poezijo. Prejela je &scaron;tevilna priznanja, &scaron;tipendije in nagrade, med drugim nagrado Windham-Campbell ter nagradi Roberta Creeleyja in Denise Levertov. Leta 1993 je objavila antologijo <em>Proti pozabi. Poezija pričevanja dvajsetega stoletja</em>, leta 2019 pa knjigo spominov <em>Kar ste sli&scaron;ali, je res</em>."
Zbrane pesmi II,Paul Celan,1296,poezija,"Romunsko-nem&scaron;ki pesnik in prevajalec Paul Celan (1920-;1970) je eden največjih, če ne celo največji pesnik 20. stoletja. O njem so mdr. pisali v&eacute;liki filozofi 20. stoletja (Gadamer, L&eacute;vinas, Derrida), na Slovenskem pa je na&scaron;el veliko občudovalcev in bralcev, sledi njegovega ustvarjanja najdemo pri &scaron;tevilnih pesnicah in pesnikih. Celan, ki je po drugi svetovni vojni emigriral v Francijo in tam pisal v nem&scaron;čini, jeziku nacističnih morilcev svojih judovskih star&scaron;ev, je življenje zaključil s prostovoljno smrtjo v Seni."
Sintaksa mesečine,Branko Čegec,152,poezija,"Branko Čegec (1957, Vrbovec, Hrva&scaron;ka) je pesnik. Je prvi avtor hrva&scaron;ke srednje generacije, ki je v sloven&scaron;čini dobil zaokrožen prerez svojega izbranega dosedanjega ustvarjanja."
Vetrolov,Lucija Stupica,100,poezija,"Lucija Stupica (1971, Celje) je pesnica in arhitekta. Od leta 1997 objavlja pesmi v literarnih revijah <em>Literatura </em>in <em>Sodobnost</em>. Posamezne pesmi iz njenega pesni&scaron;kega prvenca <em>Čelo na soncu</em> so prevedene v nekatere tuje jezike. Nastopila je na pesni&scaron;kih festivalih na Poljskem in v Kolumbiji."
Zbrane zbirke + CD - Milan Jesih,Milan Jesih,826,poezija,"Milan Jesih&nbsp;(1950) je predvsem pesnik, kot avtor in prevajalec pa je izredno dejaven v svetu gledali&scaron;ča in radia. Objavil je petnajst pesni&scaron;kih zbirk, uprizorjenih je bilo več kot dvajset njegovih iger in predvajanih podobno &scaron;tevilo radijskih iger. Prevajal je temeljna dela svetovne književnosti (Shakespeara, Čehova, Gogolja, Bablja, Kleista idr.). Za svoje pesmi je prejel vse pomembnej&scaron;e literarne nagrade, med njimi Jenkovo, Veronikino in Pre&scaron;ernovo."
"Ogenj v ustih, CD",Dane Zajc,,poezija,"Dane Zajc (1929-;2005) je bil pesnik, dramatik, esejist in knjižničar, klasik slovenske in evropske književnosti. Njegov opus obsega osem izvirnih knjig pesmi ter sedem dram za odrasle. Za svoje ustvarjanje je prejel več nagrad, med njimi nagrado Pre&scaron;ernovega sklada, Pre&scaron;ernovo in dve Grumovi nagradi ter Fullbrightovo &scaron;tipendijo za priznanega umetnika."
Brez anestezije,Radmila Lazić,182,poezija,"Radmila Lazić (1949) o svojem pisanju poezije pravi, da se najraje ukvarja s temami, ki se dotikajo tabujev, tako literarnih kot življenjskih. Poezija te sodobne srbske pesnice je izrazito angažirana, svet nagovarja naravnost, brez dlake na jeziku, pogosto provokativno in ironično, &scaron;aljivo in uporni&scaron;ko, izrazito čustveno -; &raquo;a nikoli patetično&laquo;, kot pravi sama. Ne čudi, da je poleg bogatega pesni&scaron;kega, proznega in esejističnega opusa v zadnjih desetletjih odigrala pomembno vlogo v srbskem javnem življenju kot angažirana intelektualka (revija ProFemina, urednica knjižne zbirke Femina pri beograjski Prosveti), vneta zagovornica ženske emancipacije in enakovrednosti spolov in borka za človekove pravice. Naslovi nekaterih njenih pesni&scaron;kih zbirk so sami po sebi zgovorni: <em>To je to</em> (1974), <em>Pravo stanje stvari</em> (1978), <em>Razdelitev vlog </em>(1981), <em>Iz anamneze</em> (2000), <em>Blues Dorothy Parker</em> (2003 in 2004), In vivo (2007). V angle&scaron;čino je njene pesmi prevajal ameri&scaron;ki pesnik Charles Simic, dober znanec in gost festivala Dnevi poezije in vina.&nbsp;"
Kraški narcis,Josip Osti,96,poezija,"Josip Osti (1945-;2021) je bil pesnik, pisatelj, esejist, antologist, prevajalec in literarni kritik. Napisal je več proznih del in pesni&scaron;kih zbirk, njegov opus pa je, kot je opisal sam, ustvarjen iz jezikov spominov. Prevedel je okoli 90 knjig in 15 gledali&scaron;kih besedil slovenskih avtorjev ter uredil vrsto antologij slovenske poezije v hrva&scaron;čini. Za svoja dela, ki so prevedena v več tujih jezikov, je prejel je vrsto literarnih nagrad, med njimi Župančičevo listino, zlato ptico, nagrado Vilenica in Župančičevo nagrado."
Ti lepi dnevi,Patrizia Cavalli,180,poezija,"Ena najbolj prepoznavnih sodobnih italijanskih pesnic Patrizia Cavalli (1947-2022) je avtorica sedmih pesni&scaron;kih zbirk: Moje pesmi ne bodo spremenile sveta, Nebo, Poezije 1974-;1992, Prav moj edinstveni jaz, Vedno odprto gledali&scaron;če, Lenobne božanskosti in lenobna usoda, Kristavec ter najnovej&scaron;a zbirka pesmi v prozi Z japonskimi koraki. Za svoje delo je prejela &scaron;tevilne nagrade, med njimi nagrado mesta Viareggio-Repaci in nagrado Dess&igrave;."
Najboljši so padli,Katja Perat,70,poezija,"Katja Perat (1988) je doktorska &scaron;tudentka primerjalne književnosti in kretivnega pisanja na Univerzi Washington v St. Louisu, novinarka Mladine, sourednica AirBeletrine in avtorica pesni&scaron;kih zbirk<em> Najbolj&scaron;i so padli</em> (2011) in <em>Davek na dodano vrednost</em> (2014). Od leta 2007 svojo poezijo objavlja v reviji Literatura. Za pesni&scaron;ko zbirko <em>Najbolj&scaron;i so padli </em>je leta 2011 prejela nagrado za najbolj&scaron;i literarni prvenec in bila nominirana tudi za Veronikino nagrado."
Zapuščanje otoka,Paul Muldoon,90,poezija,"Paul Muldoon (1951, Portadown, Velika Britanija) sodi med najvidnej&scaron;e sodobne pesnike, ki pi&scaron;ejo v angle&scaron;čini. Do sedaj je izdal deset pesni&scaron;kih zbirk. Leta 1990 je postal direktor Centra za družbene vede in kreativno pisanje na Univerzi Princetone, kjer deluje &scaron;e danes. Muldoon je za svoje delo prejel &scaron;tevilna najuglednej&scaron;a mednarodna priznanja, med njimi nagrado T. S. Eliot, nagrado Ameri&scaron;ke akademije umetnosti in književnosti in Pulitzerjevo nagrado."
Čarni čut,Malcolm De Chazal,269,poezija,"Malcolm de Chazal (1902 -; 1981, Mavricij) je bil pesnik, filozof in slikar. Njegov literarni opus vključuje desetine zvezkov s pesmimi, eseji in razmi&scaron;ljanji, ki so izhajali na Mavriciju in v Franciji. Poleg knjig pesmi <em>Čarni čut</em> in <em>Plastični čut</em> med njegova najpomembnej&scaron;a dela sodita &scaron;e zbirka esejev <em>La Vie Filtr&eacute;e</em> in roman <em>Petrusmuk</em>."
"Gospod, nekaj imamo za vas",Stanka Hrastelj,101,poezija,"Stanka Hrastelj (1975, Brežice) je pesnica, pisateljica in oblikovalka keramike. Doslej je izdala pesni&scaron;ko zbirko in roman, njena posamezna dela pa so objavljena v mnogih domačih in tujih antologijah, zbornikih in revijah. Na festivalu <em>Ur&scaron;ka </em>je bila leta 2001 izbrana za najbolj&scaron;o mlado pesnico, za prozno ustavrjanje je prejela nagrado za najbolj&scaron;i literarni prvenec in nagrado modra ptica."
Maršal,Milan Jesih,114,poezija,"Milan Jesih&nbsp;(1950) je predvsem pesnik, kot avtor in prevajalec pa je izredno dejaven v svetu gledali&scaron;ča in radia. Objavil je petnajst pesni&scaron;kih zbirk, uprizorjenih je bilo več kot dvajset njegovih iger in predvajanih podobno &scaron;tevilo radijskih iger. Prevajal je temeljna dela svetovne književnosti (Shakespeara, Čehova, Gogolja, Bablja, Kleista idr.). Za svoje pesmi je prejel vse pomembnej&scaron;e literarne nagrade, med njimi Jenkovo, Veronikino in Pre&scaron;ernovo."
Vertikalna poezija,Robert Juarroz,224,poezija,Roberto Juarroz (1925 -; 1995) se je rodil v Coronel Dorregu v Argentini. S svojimi petnajstimi zvezki <em>Vertikalne</em> <em>poezije</em> je ustvaril enega najbolj homogenih in zaokroženih pesni&scaron;kih opusov 20. stoletja in postvail mejnik v latinskoameri&scaron;ki poeziji.
Proza transsibirca in druge pesmi,Blaise Cendrars,152,poezija,"Blaise Cendrars (1887 -; 1961) se je rodil v La Chaux-de-Fonds v &Scaron;vici. Bil je pistelj in vpliven&nbsp;avtor evropskega modernističnega literarnega gibanja. Njegov opus je obsežen in raznolik, že za časa življenja so ga opazili mnogi pomembni avtorji, na primer <em>Apollinaire </em>in <em>Miller</em>. Velja za klasika francoske literature."
Pregibi in pasti,Durs Grunbein,213,poezija,"Durs Gr&uuml;nbein (1962, Dresden, Nemčija). Njegovo delo je izjemno plodovito, saj &scaron;teje prek 40 knjig poezije, esejev in prevodov. Gr&uuml;nbein je prejel &scaron;tevilne ugledne nagrade, med drugim B&uuml;chnerjevo nagrado (1995) in nagrado Friedricha Nietzscheja (2005). Prevodi njegove poezije izhajajo pri najbolj uglednih svetovnih založbah."
Telemahovi komentarji,Veno Taufer,787,poezija,"Veno Taufer (1933&minus;2023) je bil slovenski pesnik, dramatik, esejist in prevajalec, ki je v prostor slovenske poezije vstopil leta 1956 s prvimi objavami v revijah. S svojo prvo pesni&scaron;ko zbirko <em>Svinčene zvezde</em> (1958) se je uvrstil med najizrazitej&scaron;e predstavnike slovenskega pesni&scaron;kega modernizma in hkrati velja za predhodnika slovenske avantgarde v 60. letih. Leta 1985 je začel z Mednarodnim literarnim festivalom Vilenica, ki ga je vodil trinajst let, med drugim pa je bil tudi predsednik Slovenskega centra PEN in dva mandata predsednik Mirovnega komiteja Mednarodnega PEN-a."
Skorjevec,Gašper Bivšek,113,poezija,"Rojen leta 1984 v Slovenj Gradcu. Živi, ustvarja in dela nad Mežico, nekdanjim rudarskim mestom. Pi&scaron;e poezijo in jo objavlja v domačih literarnih revijah. Pri &Scaron;tudentski založbi v Ljubljani je izdal svoj prvenec z naslovom <em>Skorjevec </em>ter drugo zbirko z naslovom <em>Provinca</em>. <em>Mrak</em>.&nbsp;"
Skritost DPV 2015,C. D. Wright,183,poezija,"Caroline Doris&nbsp;Wright (1949, Mountain Home, ZDA) je pesnica, ki je objavila več kot ducat knjig, nazadnje <em>One With Others: a little book of her days</em>, ki je prejela ameri&scaron;ki nagradi <em>National Book Critics Circle</em> in <em>Lenore Marshall</em>. Leta 2004 je prejela naziv <em>MacArthur Fellow</em>, naslednje leto pa &scaron;e nagrado <em>Roberta Creeleya</em>. Njena knjiga <em>Rising, Falling, Hovering </em>je osvojila mednarodno nagrado za poezijo <em>Griffin</em>."
Kamen CD,Peter N. Gruber,,poezija,"Peter N.Gruber (1956 , Gradec, Avstrija). Po letu 1980 je deloval kot komponist in glasbenik, med drugim je med leti 1984 in 1992 bil basist svetovno znane rock skupine <em>Opus</em> (poznamo jo predvsem po uspe&scaron;nici <em>Life is Life</em>), s katero je na &scaron;tevilnih turnejah obredel vse celine. Leta 1997 je ustanovil svojo diskografsko založbo <em>Doublebass Records</em> in se intenzivno posvečal glasbenim interpretacijam plesnih in gledali&scaron;kih predstav ter sodelovanju s &scaron;tevilnimi pisatelji. Prav literatura je Gruberju eden od osrednjih virov inspiracije za lastno ustvarjanje, iz glasbenega dialoga s teksti so nastale &scaron;tevilne skladbe, zbrane na njegovih zgo&scaron;čenkah <em>Schwarze Prinzessin</em> (1999), <em>Fis </em>(2001 z Ottom Lechnerjem) in <em>Die Lilie</em> (2002)."
Daleč stran,Raul Zurita,228,poezija,"Ra&uacute;l Zurita (1950, Santiago, Čile) je pesnik. Leta 1979 je skupaj z nekaterimi drugimi čilskimi umetniki ustanovil umetni&scaron;ko aktivistično gibanje CADA, katerega delovanje je bilo usmerjeno v politično umetnost, s katero so se upirali Pinochetovemu diktatorskemu režimu. Leta 1982 je z letali na nebo nad New Yorkom napisal pesem <em>Nueva</em> <em>vida</em> <em>(Novo</em> <em>življenje),</em> leta 1992 pa je z buldožerji v sipine pu&scaron;čave Atakama zapisal stavek<em> Ni pena ni miedo (Ne bolečina ne strah)</em>, ki je zaradi svojih ogromnih dimenzij viden le iz zraka."
Mi se vrnemo zvečer - antologija mlade slovenske poezije,Več Avtorjev,236,poezija,Več avtorjev
Prej / potem,Barbara Pešut,93,poezija,"Barbara Pe&scaron;ut (1964, Ljubljana). Producirala je prvo Magnificovo plo&scaron;čo, nadaljevala kot kolumnistka in učiteljica glasbene vzgoje. Na koncu se je na&scaron;la kot pesnica in pisateljica. Njene najbolj znane publikacije so pesni&scaron;ke zbirke: <em>Prej/Potem,</em> <em>Granit</em> <em>Žefran,</em> <em>Eksplicitne</em> in avtobiografija <em>Prvi</em> <em>polčas.</em> Pod psevdonimom Eva Pacher je izdala tudi erotični roman <em>Čudoviti</em> <em>klon</em> (Beletrina, 2005)."
Brodišče,Toon Tellegen,239,poezija,"Toon Tellegen (1941, Brielle, Nizozemska) je pisatelj, pesnik in zdravnik. Pi&scaron;e za otroke in odrasle, njegov literarni opus obsega več kot dvajset pesni&scaron;kih zbirk in več kot &scaron;tirideset knjig za otroke. Za svoja dela je prejel več mednarodnih literarnih nagrad, med njimi nagrado <em>Popescu</em>."
